fight_id,fighter1_id,fighter1,fighter2_id,fighter2,result,bout,round,format,f1_wins,f1_losses,f1_draws,f1_no_contests,f1_height,f1_weight,f1_reach,f1_stance,f1_dob,f1_SLpM,f1_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_draws,f2_no_contests,f2_height,f2_weight,f2_reach,f2_stance,f2_dob,f2_SLpM,f2_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg
0,54f64b5e283b0ce7,Ilia Topuria,07225ba28ae309b6,Charles Oliveira,Ilia Topuria,UFC Lightweight Title Bout,1,5 Rnd (5-5-5-5-5),17,0,0,0,170.18,70.29,175.26,Orthodox,1997-01-21,4.81,0.48,3.83,0.64,1.96,0.61,0.93,1.1,35,11,0,1,177.8,70.29,187.96,Orthodox,1989-10-17,3.41,0.55,3.26,0.48,2.23,0.39,0.56,2.6
1,a0f0004aadf10b71,Alexandre Pantoja,853eb0dd5c0e2149,Kai Kara-France,Alexandre Pantoja,UFC Flyweight Title Bout,3,5 Rnd (5-5-5-5-5),30,5,0,0,165.1,56.69,170.18,Orthodox,1990-04-16,4.36,0.5,3.88,0.49,2.8,0.47,0.69,1.0,25,12,0,1,162.56,56.69,175.26,Orthodox,1993-03-26,4.46,0.4,3.24,0.64,0.56,0.3,0.83,0.0
2,6e15f63b6c2e2c15,Brandon Royval,17e97649403ba428,Joshua Van,Joshua Van,Flyweight Bout,3,3 Rnd (5-5-5),17,8,0,0,175.26,56.69,172.72,Southpaw,1992-08-16,5.55,0.41,4.23,0.43,0.67,0.75,0.45,1.1,15,2,0,0,165.1,56.69,165.1,Orthodox,2001-10-10,8.86,0.56,6.36,0.57,0.85,0.63,0.81,0.0
3,08af939f41b5a57b,Beneil Dariush,b6452706b373eea1,Renato Moicano,Beneil Dariush,Lightweight Bout,3,3 Rnd (5-5-5),23,6,1,0,177.8,70.29,182.88,Southpaw,1989-05-06,3.78,0.49,2.61,0.57,2.12,0.38,0.82,0.8,20,7,1,0,180.34,70.29,182.88,Orthodox,1989-05-21,4.17,0.48,3.57,0.59,1.67,0.41,0.62,0.5
4,6e743a33d56bdaa4,Payton Talbott,9256f591b30c073e,Felipe Lima,Payton Talbott,Bantamweight Bout,3,3 Rnd (5-5-5),10,1,0,0,177.8,61.22,177.8,Switch,1998-09-09,6.05,0.54,3.26,0.46,0.24,0.25,0.76,0.2,14,2,0,0,167.64,61.22,172.72,Orthodox,1998-05-07,2.86,0.45,2.91,0.64,2.18,0.27,0.85,0.7
5,0a1942069c9ad6b6,Jack Hermansson,d1c65d2cf2925ddd,Gregory Rodrigues,Gregory Rodrigues,Middleweight Bout,1,3 Rnd (5-5-5),24,9,0,0,185.42,83.9,195.58,Orthodox,1988-06-10,5.13,0.45,3.7,0.57,1.5,0.29,0.8,0.4,17,6,0,0,190.5,83.9,190.5,Orthodox,1992-02-17,5.54,0.51,5.04,0.5,2.21,0.38,0.9,0.3
6,41cc71cbf210e0fe,Hyder Amil,7d6ceff6747f2de2,Jose Delgado,Jose Delgado,Featherweight Bout,1,3 Rnd (5-5-5),11,1,0,0,175.26,65.76,177.8,Switch,1990-05-28,6.84,0.57,4.18,0.51,0.77,0.2,0.81,1.2,10,1,0,0,180.34,65.76,187.96,Switch,1998-04-21,7.13,0.49,3.67,0.55,4.58,0.6,0.71,0.0
7,36541f1e6c5d4955,Viviane Araujo,68d4a891e5cf2029,Tracy Cortez,Tracy Cortez,Women's Flyweight Bout,3,3 Rnd (5-5-5),13,7,0,0,162.56,56.69,172.72,Orthodox,1986-11-21,3.84,0.47,4.83,0.55,1.72,0.43,0.75,0.6,12,2,0,0,165.1,56.69,165.1,Orthodox,1993-12-10,3.79,0.49,2.84,0.57,2.19,0.47,0.62,0.3
8,809bd1a871491508,Terrance McKinney,19c591115a58982c,Viacheslav Borshchev,Terrance McKinney,Lightweight Bout,1,3 Rnd (5-5-5),17,7,0,0,177.8,70.29,185.42,Switch,1994-09-15,5.78,0.56,2.58,0.47,3.59,0.4,0.77,2.2,8,6,1,0,180.34,70.29,175.26,Orthodox,1992-01-08,5.22,0.54,4.73,0.57,0.0,0.0,0.42,0.1
9,d8da10db80131bec,Niko Price,85497ffd934ecf7e,Jacobe Smith,Jacobe Smith,Welterweight Bout,2,3 Rnd (5-5-5),16,9,0,2,182.88,77.1,193.04,Orthodox,1989-09-29,5.13,0.43,5.55,0.48,0.98,0.28,0.5,0.6,11,0,0,0,177.8,77.1,182.88,Southpaw,1996-01-17,6.21,0.66,2.86,0.47,7.42,0.9,1.0,0.8
