fight_id,fighter1_id,fighter1,fighter2_id,fighter2,result,bout,method,round,time,format,ref,date
d7507e2741fd4d05,150ff4cc642270b9,Max Holloway,029eaff01e6bb8f0,Dustin Poirier,Max Holloway,Lightweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,"July 19, 2025"
23c963be9de38205,2e5c2aa8e4ab9d82,Paulo Costa,9d83f6da776ff7d6,Roman Kopylov,Paulo Costa,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"July 19, 2025"
5dde61734080ac4a,3a46b268013afede,Kevin Holland,8a1f3b5c526cd6e6,Daniel Rodriguez,Daniel Rodriguez,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,"July 19, 2025"
acc961fd5cf5c62e,82a5152216251682,Dan Ige,98a58c26c5b1ed17,Patricio Freire,Patricio Freire,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"July 19, 2025"
a95b03e9b5a91e47,511e82663651438d,Michael Johnson,4148802ae4a50768,Daniel Zellhuber,Michael Johnson,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,"July 19, 2025"
d2cb92fdf6a497e9,60425d07ef4b91a7,Kyler Phillips,18d01f7f8338ae72,Vinicius Oliveira,Vinicius Oliveira,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Hill,"July 19, 2025"
8e1feda9141602f1,7acbb0972e75281a,Marvin Vettori,2f181c0467965b98,Brendan Allen,Brendan Allen,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bassel Mahgoub,"July 19, 2025"
df2ed8b509fbdbdc,3920d0cc288f9b0d,Francisco Prado,0f1efce7d2571d10,Nikolay Veretennikov,Nikolay Veretennikov,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,"July 19, 2025"
72e477b41f44e358,2f815ed5f8278ba6,Ateba Gautier,0cd0456d6029cec2,Robert Valentin,Ateba Gautier,Middleweight Bout,KO/TKO,1,1:10,3 Rnd (5-5-5),Herb Dean,"July 19, 2025"
37bc72d5d211b189,a01a62132460a98d,Adam Fugitt,e803242fb2e41112,Islam Dulatov,Islam Dulatov,Welterweight Bout,KO/TKO,1,4:06,3 Rnd (5-5-5),Mike Beltran,"July 19, 2025"
798652dbea086910,70e1f8a821b72c8b,Jimmy Crute,6370c1c1e12723d5,Marcin Prachnio,Jimmy Crute,Light Heavyweight Bout,Submission,1,4:42,3 Rnd (5-5-5),Dan Miragliotta,"July 19, 2025"
182ee320edb1b5ed,a67f5afa8d6a1b80,Ryan Spann,0c25d0a5e8cdbf19,Lukasz Brzeski,Ryan Spann,Heavyweight Bout,Submission,1,2:47,3 Rnd (5-5-5),Chris Hill,"July 19, 2025"
74099d470e8d2765,1e719d4b676dc19a,Brunno Ferreira,3eeec2f53cebdf12,Jackson McVey,Brunno Ferreira,Middleweight Bout,Submission,1,3:35,3 Rnd (5-5-5),Kerry Hatley,"July 19, 2025"
a602c68147b752b2,f1ab6f37492c630a,Carli Judice,fc0a4053eb8a3a59,Nicolle Caliari,Carli Judice,Women's Flyweight Bout,KO/TKO,3,1:30,3 Rnd (5-5-5),Bassel Mahgoub,"July 19, 2025"
0adfc21045c02555,d3df1add9d9a7efb,Derrick Lewis,17923f676f100e16,Tallison Teixeira,Derrick Lewis,Heavyweight Bout,KO/TKO,1,0:35,5 Rnd (5-5-5-5-5),Jason Herzog,"July 12, 2025"
2a03bc4c491b4c9a,4a28cb716c19157a,Stephen Thompson,01641ba5df0c69b0,Gabriel Bonfim,Gabriel Bonfim,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Blake Grice,"July 12, 2025"
f368475c366c6d85,751de04455cfaac0,Calvin Kattar,97cf1a2c7c5e7889,Steve Garcia,Steve Garcia,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,"July 12, 2025"
4e5d4a36eaaa3a78,583ee11abddfc581,Nate Landwehr,5b03b61f9d90125e,Morgan Charriere,Morgan Charriere,Featherweight Bout,KO/TKO,3,0:27,3 Rnd (5-5-5),Blake Grice,"July 12, 2025"
4b75d3b7738cb278,71171fc96445bf65,Vitor Petrino,be9bdec19b7e9ffe,Austen Lane,Vitor Petrino,Heavyweight Bout,Submission,1,4:16,3 Rnd (5-5-5),Jimmy Neely,"July 12, 2025"
b19bf99c7eb796bc,c15fa95b9a12fde4,Junior Tafa,3e8118c1ab52f211,Tuco Tokkos,Tuco Tokkos,Light Heavyweight Bout,Submission,2,4:25,3 Rnd (5-5-5),Eric McMahon,"July 12, 2025"
236f811290163dca,b0d6a1d8ac3d563d,Max Griffin,5442f1bc4b47eaf3,Chris Curtis,Chris Curtis,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Justin Brown,"July 12, 2025"
d5e3be7a07c48b08,a845f0735bc67405,Jake Matthews,c68c68efaa5ca6ef,Chidi Njokuani,Jake Matthews,Welterweight Bout,Submission,1,1:09,3 Rnd (5-5-5),Jimmy Neely,"July 12, 2025"
46bc1338a50cbeac,729d4bd5a6cd0a97,Lauren Murphy,de594b35c45c2e9a,Eduarda Moura,Eduarda Moura,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Blake Grice,"July 12, 2025"
5c650ae2193ab1bc,8667caa0451d245b,Kennedy Nzechukwu,f5779a2303ed76ec,Valter Walker,Valter Walker,Heavyweight Bout,Submission,1,0:54,3 Rnd (5-5-5),Eric McMahon,"July 12, 2025"
7f33fbdc35afd721,e99eb0ef25885de5,Mitch Ramirez,fb3e61720be4690c,Mike Davis,Mike Davis,Lightweight Bout,KO/TKO,2,4:08,3 Rnd (5-5-5),Justin Brown,"July 12, 2025"
120d66cb0da0f3c3,745fa7b605f8e2da,Fatima Kline,3f4c3bc822bea45d,Melissa Martinez,Fatima Kline,Women's Strawweight Bout,KO/TKO,3,2:36,3 Rnd (5-5-5),Jimmy Neely,"July 12, 2025"
7a64d63e12618ba7,54f64b5e283b0ce7,Ilia Topuria,07225ba28ae309b6,Charles Oliveira,Ilia Topuria,UFC Lightweight Title Bout,KO/TKO,1,2:27,5 Rnd (5-5-5-5-5),Marc Goddard,"June 28, 2025"
8308464729ea7c40,a0f0004aadf10b71,Alexandre Pantoja,853eb0dd5c0e2149,Kai Kara-France,Alexandre Pantoja,UFC Flyweight Title Bout,Submission,3,1:55,5 Rnd (5-5-5-5-5),Herb Dean,"June 28, 2025"
f722b96ae6862843,6e15f63b6c2e2c15,Brandon Royval,17e97649403ba428,Joshua Van,Joshua Van,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,"June 28, 2025"
1ea9ad3b6e1cba79,08af939f41b5a57b,Beneil Dariush,b6452706b373eea1,Renato Moicano,Beneil Dariush,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"June 28, 2025"
f6a3c78f15ff26c7,6e743a33d56bdaa4,Payton Talbott,9256f591b30c073e,Felipe Lima,Payton Talbott,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"June 28, 2025"
958522de54ccc536,0a1942069c9ad6b6,Jack Hermansson,d1c65d2cf2925ddd,Gregory Rodrigues,Gregory Rodrigues,Middleweight Bout,KO/TKO,1,4:21,3 Rnd (5-5-5),Herb Dean,"June 28, 2025"
2f523b757f7f33a2,41cc71cbf210e0fe,Hyder Amil,7d6ceff6747f2de2,Jose Delgado,Jose Delgado,Featherweight Bout,KO/TKO,1,0:26,3 Rnd (5-5-5),Marc Goddard,"June 28, 2025"
815ff62ca8e217be,36541f1e6c5d4955,Viviane Araujo,68d4a891e5cf2029,Tracy Cortez,Tracy Cortez,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,"June 28, 2025"
d7be78c400e7e0f9,809bd1a871491508,Terrance McKinney,19c591115a58982c,Viacheslav Borshchev,Terrance McKinney,Lightweight Bout,Submission,1,0:55,3 Rnd (5-5-5),Chris Tognoni,"June 28, 2025"
9bff9fe298e63357,d8da10db80131bec,Niko Price,85497ffd934ecf7e,Jacobe Smith,Jacobe Smith,Welterweight Bout,Submission,2,4:03,3 Rnd (5-5-5),Mark Smith,"June 28, 2025"
043172689e415438,25f9a5f3e8a52618,Jhonata Diniz,ab2a4b5e04dc5fe9,Alvin Hines,Jhonata Diniz,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"June 28, 2025"
03bc32bdb5a33496,5444c5a201d3ee5a,Jamahal Hill,749f572d1d3161fb,Khalil Rountree Jr.,Khalil Rountree Jr.,Light Heavyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"June 21, 2025"
a1afc16e21d1a807,c814b4c899793af6,Rafael Fiziev,e4a47b07044ddd72,Ignacio Bahamondes,Rafael Fiziev,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"June 21, 2025"
8e5744c664fec3e9,fa6796c55d6c5440,Curtis Blaydes,739fd4fbb5d862f4,Rizvan Kuniev,Curtis Blaydes,Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,"June 21, 2025"
36ec204f47e4d613,ae81a3ac7b260411,Tofiq Musayev,bf2c8e01b07d3eb1,Myktybek Orolbai,Myktybek Orolbai,Catch Weight Bout,Submission,1,4:35,3 Rnd (5-5-5),Rich Mitchell,"June 21, 2025"
7513a00037094075,ff62013d2fce6d13,Nazim Sadykhov,37f560436d745c18,Nikolas Motta,Nazim Sadykhov,Lightweight Bout,KO/TKO,2,4:17,3 Rnd (5-5-5),Lukasz Bosacki,"June 21, 2025"
19764211af05674c,8d11d9c13e2ccdf7,Muhammad Naimov,fb37795db81f93f3,Bogdan Grad,Muhammad Naimov,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"June 21, 2025"
e512b80bbaea36c2,4a07b1988477502c,Seokhyeon Ko,6b56e94a59b7b134,Oban Elliott,Seokhyeon Ko,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"June 21, 2025"
5fcf18bcd2a020f1,6a96ad1bc34fb113,Ismail Naurdiev,285ae0b4a68221f4,JunYong Park,JunYong Park,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,"June 21, 2025"
