fight_id,fighter1_id,fighter1,fighter2_id,fighter2,result,bout,round,format,date,f1_id,f1_wins,f1_losses,f1_draws,f1_no_contests,f1_height,f1_weight,f1_reach,f1_SLpM,f1_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_id,f2_wins,f2_losses,f2_draws,f2_no_contests,f2_height,f2_weight,f2_reach,f2_SLpM,f2_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg,title_fight,female,f1_stance_Open Stance,f1_stance_Orthodox,f1_stance_Southpaw,f1_stance_Switch,f1_stance_Unknown,f2_stance_Open Stance,f2_stance_Orthodox,f2_stance_Sideways,f2_stance_Southpaw,f2_stance_Switch,f2_stance_Unknown,f1_age,f2_age
d7507e2741fd4d05,150ff4cc642270b9,Max Holloway,029eaff01e6bb8f0,Dustin Poirier,1,Lightweight Bout,5,5 Rnd (5-5-5-5-5),2025-07-19,150ff4cc642270b9,26,8,0,0,180.34,65.76,175.26,7.16,0.47,4.76,0.59,0.25,0.53,0.83,0.3,029eaff01e6bb8f0,30,9,0,1,175.26,70.29,182.88,5.3,0.5,4.33,0.52,1.24,0.36,0.64,1.3,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.6,36.5
23c963be9de38205,2e5c2aa8e4ab9d82,Paulo Costa,9d83f6da776ff7d6,Roman Kopylov,1,Middleweight Bout,3,3 Rnd (5-5-5),2025-07-19,2e5c2aa8e4ab9d82,14,4,0,0,185.42,83.9,182.88,6.22,0.58,6.56,0.49,0.36,0.75,0.8,0.0,9d83f6da776ff7d6,14,3,0,0,182.88,83.9,190.5,4.96,0.5,4.86,0.55,1.17,0.42,0.87,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.2,34.2
5dde61734080ac4a,3a46b268013afede,Kevin Holland,8a1f3b5c526cd6e6,Daniel Rodriguez,0,Welterweight Bout,3,3 Rnd (5-5-5),2025-07-19,3a46b268013afede,28,13,0,1,190.5,77.1,205.74,4.24,0.5,3.11,0.5,0.81,0.39,0.55,0.6,8a1f3b5c526cd6e6,19,5,0,0,185.42,77.1,187.96,7.39,0.48,5.39,0.57,0.55,0.54,0.63,0.1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.7,38.5
acc961fd5cf5c62e,82a5152216251682,Dan Ige,98a58c26c5b1ed17,Patricio Freire,0,Featherweight Bout,3,3 Rnd (5-5-5),2025-07-19,82a5152216251682,19,9,0,0,170.18,65.76,180.34,3.67,0.45,3.55,0.56,0.94,0.25,0.58,0.2,98a58c26c5b1ed17,36,8,0,0,167.64,65.76,170.18,2.45,0.4,4.48,0.57,0.69,0.2,0.88,0.7,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,38.0
a95b03e9b5a91e47,511e82663651438d,Michael Johnson,4148802ae4a50768,Daniel Zellhuber,1,Lightweight Bout,3,3 Rnd (5-5-5),2025-07-19,511e82663651438d,24,19,0,0,177.8,70.29,185.42,4.23,0.39,3.8,0.58,0.61,0.4,0.81,0.0,4148802ae4a50768,15,2,0,0,185.42,70.29,195.58,6.26,0.4,6.02,0.55,0.18,0.25,0.94,0.2,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.1,26.0
d2cb92fdf6a497e9,60425d07ef4b91a7,Kyler Phillips,18d01f7f8338ae72,Vinicius Oliveira,0,Bantamweight Bout,3,3 Rnd (5-5-5),2025-07-19,60425d07ef4b91a7,12,3,0,0,172.72,61.22,182.88,5.28,0.44,3.47,0.6,2.63,0.51,0.75,0.4,18d01f7f8338ae72,22,3,0,0,175.26,61.22,177.8,4.92,0.44,2.77,0.52,1.89,0.6,0.76,0.3,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.1,29.6
8e1feda9141602f1,7acbb0972e75281a,Marvin Vettori,2f181c0467965b98,Brendan Allen,0,Middleweight Bout,3,3 Rnd (5-5-5),2025-07-19,7acbb0972e75281a,19,8,1,0,182.88,83.9,187.96,4.54,0.46,4.37,0.56,1.51,0.45,0.69,0.4,2f181c0467965b98,24,7,0,0,187.96,83.9,190.5,3.55,0.53,3.67,0.45,1.53,0.38,0.56,1.3,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.8,29.6
df2ed8b509fbdbdc,3920d0cc288f9b0d,Francisco Prado,0f1efce7d2571d10,Nikolay Veretennikov,0,Welterweight Bout,3,3 Rnd (5-5-5),2025-07-19,3920d0cc288f9b0d,12,3,0,0,177.8,77.1,175.26,4.38,0.41,5.32,0.55,0.31,0.09,0.25,0.3,0f1efce7d2571d10,12,6,0,0,185.42,77.1,187.96,2.73,0.56,3.54,0.48,0.0,0.0,0.57,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.1,35.6
72e477b41f44e358,2f815ed5f8278ba6,Ateba Gautier,0cd0456d6029cec2,Robert Valentin,1,Middleweight Bout,1,3 Rnd (5-5-5),2025-07-19,2f815ed5f8278ba6,7,1,0,0,193.04,83.9,205.74,6.06,0.64,2.23,0.51,0.0,0.0,0.9,0.0,0cd0456d6029cec2,11,5,0,1,187.96,83.9,195.58,1.1,0.58,2.11,0.23,0.0,0.0,0.55,1.4,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.3,30.3
37bc72d5d211b189,a01a62132460a98d,Adam Fugitt,e803242fb2e41112,Islam Dulatov,0,Welterweight Bout,1,3 Rnd (5-5-5),2025-07-19,a01a62132460a98d,10,4,0,0,185.42,77.1,195.58,4.72,0.45,4.48,0.51,2.04,0.29,0.5,0.0,e803242fb2e41112,11,1,0,0,190.5,77.1,190.5,14.27,0.56,5.49,0.51,5.49,1.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.5,27.0
