fight_id,fighter1_id,fighter1,fighter2_id,fighter2,result,bout,method,round,time,format,ref,date,f1_id,f1_name,f1_wins,f1_losses,f1_draws,f1_no contests,f1_height,f1_weight,f1_reach,f1_stance,f1_dob,f1_SLpM,f1_str acc,f1_SApM,f1_str def,f1_td avg,f1_td acc,f1_td def,f1_sub avg,f2_id,f2_name,f2_wins,f2_losses,f2_draws,f2_no contests,f2_height,f2_weight,f2_reach,f2_stance,f2_dob,f2_SLpM,f2_str acc,f2_SApM,f2_str def,f2_td avg,f2_td acc,f2_td def,f2_sub avg
d7507e2741fd4d05,150ff4cc642270b9,Max Holloway,029eaff01e6bb8f0,Dustin Poirier,Max Holloway,Lightweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,"July 19, 2025",150ff4cc642270b9,Max Holloway,26,8,0,0,"5' 11""",145 lbs.,"69""",Orthodox,"Dec 04, 1991",7.16,47%,4.76,59%,0.25,53%,83%,0.3,029eaff01e6bb8f0,Dustin Poirier,30,9,0,1,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",5.3,50%,4.33,52%,1.24,36%,64%,1.3
23c963be9de38205,2e5c2aa8e4ab9d82,Paulo Costa,9d83f6da776ff7d6,Roman Kopylov,Paulo Costa,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"July 19, 2025",2e5c2aa8e4ab9d82,Paulo Costa,14,4,0,0,"6' 1""",185 lbs.,"72""",Orthodox,"Apr 21, 1991",6.22,58%,6.56,49%,0.36,75%,80%,0.0,9d83f6da776ff7d6,Roman Kopylov,14,3,0,0,"6' 0""",185 lbs.,"75""",Southpaw,"May 04, 1991",4.96,50%,4.86,55%,1.17,42%,87%,0.0
5dde61734080ac4a,3a46b268013afede,Kevin Holland,8a1f3b5c526cd6e6,Daniel Rodriguez,Daniel Rodriguez,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,"July 19, 2025",3a46b268013afede,Kevin Holland,28,13,0,1,"6' 3""",170 lbs.,"81""",Orthodox,"Nov 05, 1992",4.24,50%,3.11,50%,0.81,39%,55%,0.6,8a1f3b5c526cd6e6,Daniel Rodriguez,19,5,0,0,"6' 1""",170 lbs.,"74""",Southpaw,"Dec 31, 1986",7.39,48%,5.39,57%,0.55,54%,63%,0.1
acc961fd5cf5c62e,82a5152216251682,Dan Ige,98a58c26c5b1ed17,Patricio Freire,Patricio Freire,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"July 19, 2025",82a5152216251682,Dan Ige,19,9,0,0,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",3.67,45%,3.55,56%,0.94,25%,58%,0.2,98a58c26c5b1ed17,Patricio Freire,36,8,0,0,"5' 6""",145 lbs.,"67""",Orthodox,"Jul 07, 1987",2.45,40%,4.48,57%,0.69,20%,88%,0.7
a95b03e9b5a91e47,511e82663651438d,Michael Johnson,4148802ae4a50768,Daniel Zellhuber,Michael Johnson,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,"July 19, 2025",511e82663651438d,Michael Johnson,24,19,0,0,"5' 10""",155 lbs.,"73""",Southpaw,"Jun 04, 1986",4.23,39%,3.8,58%,0.61,40%,81%,0.0,4148802ae4a50768,Daniel Zellhuber,15,2,0,0,"6' 1""",155 lbs.,"77""",Switch,"Jul 07, 1999",6.26,40%,6.02,55%,0.18,25%,94%,0.2
d2cb92fdf6a497e9,60425d07ef4b91a7,Kyler Phillips,18d01f7f8338ae72,Vinicius Oliveira,Vinicius Oliveira,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Hill,"July 19, 2025",60425d07ef4b91a7,Kyler Phillips,12,3,0,0,"5' 8""",135 lbs.,"72""",Orthodox,"Jun 12, 1995",5.28,44%,3.47,60%,2.63,51%,75%,0.4,18d01f7f8338ae72,Vinicius Oliveira,22,3,0,0,"5' 9""",135 lbs.,"70""",Switch,"Nov 30, 1995",4.92,44%,2.77,52%,1.89,60%,76%,0.3
8e1feda9141602f1,7acbb0972e75281a,Marvin Vettori,2f181c0467965b98,Brendan Allen,Brendan Allen,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bassel Mahgoub,"July 19, 2025",7acbb0972e75281a,Marvin Vettori,19,8,1,0,"6' 0""",185 lbs.,"74""",Southpaw,"Sep 20, 1993",4.54,46%,4.37,56%,1.51,45%,69%,0.4,2f181c0467965b98,Brendan Allen,24,7,0,0,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.55,53%,3.67,45%,1.53,38%,56%,1.3
df2ed8b509fbdbdc,3920d0cc288f9b0d,Francisco Prado,0f1efce7d2571d10,Nikolay Veretennikov,Nikolay Veretennikov,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,"July 19, 2025",3920d0cc288f9b0d,Francisco Prado,12,3,0,0,"5' 10""",170 lbs.,"69""",Orthodox,"Jun 16, 2002",4.38,41%,5.32,55%,0.31,9%,25%,0.3,0f1efce7d2571d10,Nikolay Veretennikov,12,6,0,0,"6' 1""",170 lbs.,"74""",Orthodox,"Dec 22, 1989",2.73,56%,3.54,48%,0.0,0%,57%,0.0
72e477b41f44e358,2f815ed5f8278ba6,Ateba Gautier,0cd0456d6029cec2,Robert Valentin,Ateba Gautier,Middleweight Bout,KO/TKO,1,1:10,3 Rnd (5-5-5),Herb Dean,"July 19, 2025",2f815ed5f8278ba6,Ateba Gautier,7,1,0,0,"6' 4""",185 lbs.,"81""",Switch,"Apr 10, 2002",6.06,64%,2.23,51%,0.0,0%,90%,0.0,0cd0456d6029cec2,Robert Valentin,11,5,0,1,"6' 2""",185 lbs.,"77""",Orthodox,"Mar 31, 1995",1.1,58%,2.11,23%,0.0,0%,55%,1.4
37bc72d5d211b189,a01a62132460a98d,Adam Fugitt,e803242fb2e41112,Islam Dulatov,Islam Dulatov,Welterweight Bout,KO/TKO,1,4:06,3 Rnd (5-5-5),Mike Beltran,"July 19, 2025",a01a62132460a98d,Adam Fugitt,10,4,0,0,"6' 1""",170 lbs.,"77""",Southpaw,"Jan 12, 1989",4.72,45%,4.48,51%,2.04,29%,50%,0.0,e803242fb2e41112,Islam Dulatov,11,1,0,0,"6' 3""",170 lbs.,"75""",Orthodox,"Aug 02, 1998",14.27,56%,5.49,51%,5.49,100%,0%,0.0
